BrineInletPressure,BrineInletTemp,BrineOutletFlow,AmbientTemp,R134aPumpSpeed,TurboInletTemp,TurboExhaustPressure,TurboExhaustTemp,CondenserTemp,Gross,Cost,BrineOutletTemp
128.2,302.1,2750.0,27.1,1027.0,236.3,86.2,95.7,56.9,10.315,1.706999999999999,102.0
128.1,302.1,2750.0,21.9,1027.0,236.3,86.6,98.1,57.9,10.303,1.6700000000000017,102.9
128.0,302.1,2750.0,21.5,1027.0,236.4,86.4,97.2,57.7,10.317,1.6739999999999995,102.6
127.9,302.2,2749.0,19.4,1028.0,236.4,86.6,96.8,57.4,10.312,1.6509999999999998,102.6
128.0,302.2,2750.0,18.4,1028.0,236.4,86.5,97.3,57.2,10.319,1.6240000000000006,102.5
128.1,302.2,2749.0,16.0,1028.0,236.2,86.6,98.6,57.4,10.312,1.625,102.6
128.1,302.2,2750.0,15.8,1030.0,235.5,86.7,94.5,57.4,10.331,1.6479999999999997,102.0
128.2,302.2,2749.0,17.2,1031.0,235.6,86.6,94.6,57.5,10.338,1.6739999999999995,101.7
128.3,302.2,2751.0,26.1,1031.0,235.7,86.9,92.7,57.7,10.321,1.7110000000000003,102.3
128.4,302.2,2751.0,34.8,1031.0,235.9,86.6,91.1,57.7,10.342,1.7919999999999998,102.1
128.5,302.3,2752.0,40.9,1025.0,236.9,86.4,94.1,58.1,10.311,1.8780000000000001,103.0
128.5,302.2,2750.0,42.5,1022.0,237.8,86.1,98.7,58.2,10.323,1.9030000000000005,104.2
128.6,302.2,2752.0,47.4,1015.0,239.2,86.5,104.1,59.1,10.247,2.218,105.7
128.6,302.1,2751.0,48.5,1009.0,240.2,86.4,107.1,59.1,10.246,2.3150000000000004,106.6
128.7,302.0,2751.0,49.8,1005.0,241.3,87.4,110.6,60.0,10.129,2.3789999999999996,107.7
128.7,302.0,2750.0,47.4,1005.0,241.1,85.8,110.1,58.6,10.244,2.25,107.1
128.8,301.9,2750.0,43.3,1005.0,240.3,85.7,109.1,57.5,10.249,1.9619999999999997,106.1
128.8,301.8,2749.0,39.0,1006.0,239.1,86.0,108.1,56.8,10.257,1.8119999999999994,104.8
128.9,301.8,2750.0,35.0,997.0,238.5,86.2,107.0,57.0,10.252,1.7280000000000015,104.6
128.9,301.7,2749.0,31.0,982.0,240.0,86.1,109.9,56.4,10.206,1.661999999999999,105.1
128.8,301.8,2750.0,31.2,1015.0,238.4,86.2,103.2,57.0,10.298,1.7240000000000002,103.9
128.7,301.9,2749.0,28.9,1015.0,238.6,86.7,103.5,57.1,10.283,1.6819999999999986,103.5
128.6,302.0,2750.0,31.2,1019.0,238.2,86.4,101.3,57.6,10.312,1.7309999999999999,103.8
128.6,302.0,2749.0,33.6,1021.0,237.7,86.3,100.8,57.3,10.32,1.7750000000000004,103.3
128.3,301.9,2750.0,32.2,1021.0,237.3,85.9,101.8,57.7,10.321,1.706999999999999,103.4
128.2,302.0,2750.0,30.5,1021.0,237.1,86.3,102.5,57.3,10.299,1.693999999999999,103.5
128.1,302.0,2749.0,28.8,1021.0,237.2,86.2,102.2,57.0,10.309,1.6769999999999996,102.9
128.1,302.1,2750.0,27.1,1021.0,237.5,86.4,102.2,57.4,10.31,1.6690000000000005,103.3
128.2,302.1,2750.0,26.4,1021.0,237.5,86.4,100.8,57.0,10.309,1.6769999999999996,103.1
128.2,302.1,2750.0,24.7,1021.0,237.5,86.5,102.6,57.2,10.301,1.6500000000000004,103.3
128.3,302.1,2750.0,24.9,1021.0,237.5,86.6,99.6,57.3,10.295,1.641,103.1
128.4,302.2,2749.0,25.3,1021.0,237.5,86.4,97.9,57.5,10.293,1.6349999999999998,103.9
128.5,302.2,2751.0,29.2,1021.0,237.7,86.5,98.1,57.5,10.305,1.6690000000000005,104.1
128.5,302.2,2752.0,31.6,1021.0,238.0,86.3,97.6,57.5,10.3,1.6750000000000007,103.7
128.6,302.2,2751.0,33.7,1021.0,237.9,86.5,98.2,58.1,10.303,1.7380000000000013,104.2
128.7,302.2,2752.0,34.6,1021.0,237.9,86.3,101.1,58.1,10.311,1.7639999999999993,103.9
128.7,302.2,2751.0,35.4,1021.0,237.8,86.4,99.6,58.3,10.302,1.786999999999999,104.1
128.7,302.2,2751.0,40.1,1021.0,237.7,86.4,99.1,58.2,10.291,1.8390000000000004,104.3
128.8,302.2,2750.0,43.5,1016.0,238.5,86.2,102.9,57.9,10.265,2.1450000000000014,104.2
128.8,302.2,2750.0,39.5,1015.0,238.3,86.1,104.4,57.8,10.284,1.843,104.4
128.9,302.1,2750.0,36.9,1015.0,238.1,86.4,104.2,57.5,10.272,1.854000000000001,104.1
128.9,302.1,2750.0,35.9,1015.0,238.4,86.4,103.6,57.3,10.272,1.8000000000000007,103.8
128.9,302.1,2751.0,33.7,1015.0,238.8,86.5,101.2,57.5,10.282,1.7430000000000003,104.3
128.9,302.1,2749.0,30.9,1015.0,238.7,86.1,102.0,57.2,10.303,1.7060000000000013,104.0
128.8,302.1,2751.0,27.1,1018.0,238.0,86.6,100.8,57.5,10.286,1.6440000000000001,103.5
128.7,302.1,2749.0,27.8,1021.0,237.3,86.3,99.3,56.9,10.301,1.6829999999999998,103.1
128.6,302.1,2749.0,24.2,1021.0,237.1,86.6,100.2,57.3,10.278,1.6479999999999997,103.2
128.5,302.1,2750.0,23.9,1024.0,236.7,86.6,98.1,57.3,10.292,1.6479999999999997,102.9
128.4,302.1,2749.0,21.5,1026.0,236.4,86.6,96.5,57.3,10.296,1.6499999999999986,102.7
128.3,302.1,2749.0,22.2,1026.0,236.3,86.5,95.9,57.1,10.299,1.6649999999999991,102.3
128.2,302.1,2750.0,21.9,1026.0,236.2,86.6,96.0,57.2,10.3,1.6660000000000004,102.6
128.2,302.1,2749.0,20.6,1027.0,236.3,86.5,96.7,57.2,10.307,1.6530000000000005,102.4
128.3,302.1,2749.0,20.5,1027.0,236.5,86.6,97.3,57.4,10.302,1.6370000000000005,102.3
128.3,302.1,2750.0,20.7,1027.0,236.4,86.6,96.4,56.9,10.305,1.6600000000000001,102.2
128.4,302.1,2750.0,22.4,1027.0,236.6,86.6,96.6,57.4,10.298,1.6579999999999995,102.7
128.4,302.1,2751.0,22.7,1027.0,236.5,86.6,97.2,57.4,10.293,1.6609999999999996,102.5
128.4,302.1,2751.0,26.4,1027.0,236.6,86.6,96.7,57.2,10.306,1.6949999999999985,102.3
128.5,302.1,2752.0,33.4,1027.0,237.0,86.6,95.9,57.6,10.299,1.6899999999999995,103.0
128.6,302.2,2751.0,39.2,1028.0,237.0,86.5,95.1,58.5,10.298,1.7639999999999993,102.9
128.7,302.3,2751.0,40.5,1028.0,236.9,86.4,95.2,58.2,10.315,1.8209999999999997,103.8
128.9,302.4,2750.0,41.1,1028.0,236.9,86.5,95.6,58.4,10.301,1.8610000000000007,104.1
128.9,302.5,2647.0,42.4,995.0,236.9,86.3,101.8,58.2,9.737,1.7830000000000004,103.6
130.2,302.7,2675.0,44.2,995.0,238.3,86.4,104.1,58.4,9.791,1.8070000000000004,104.8
131.2,303.0,2755.0,44.1,1015.0,241.2,86.1,103.7,58.3,10.383,1.9949999999999992,105.7
127.9,301.9,2762.0,40.7,1015.0,239.2,85.9,102.6,58.1,10.307,1.9600000000000009,105.7
128.0,302.0,2765.0,39.2,1015.0,239.8,86.1,101.9,57.7,10.335,1.814,105.5
128.2,302.0,2756.0,38.3,1015.0,239.3,86.5,100.4,58.0,10.303,1.7490000000000006,105.0
128.5,302.0,2756.0,37.9,1015.0,239.2,86.3,101.0,57.7,10.294,1.7510000000000012,105.0
